"Cap Tours","Str. George Cosbuc nr. 5 ",,"0356 405 420","office@captours.ro",31,27
"Cardinal Tours","Str. Piatra Craiului nr. 3 ",,"0256 491 911 ","office@cardinaltours.ro",31,27
"Christian Tour","Str. Lucian Blaga nr. 14",,"0256 433 205","timisoara@christiantour.ro",31,27
"Eureka Reisen","Str. Vasile Alecsandri nr. 3",,"0256 435 414","office@eurekareisen.ro",31,27
"Eurotravel","Str. Dorobantilor nr. 30",,"0256 280 637","office@eurotravel.ro",31,27
"Eximtur","Str. V. Vlad Delamarina nr. 1 ",,"0256 492 958 ","timisoara@eximtur.ro",31,27
"Fantasy Travel","Str. 1 Decembrie nr. 5",,"0256 201 073 ","office@fantasytravel.ro",31,27
"Kartago Tours","Str. Alexandru Borza nr. 13",,"0256 293 060","timisoara@kartagotours.ro",31,27
"Mareea","Str. Emanoil Ungureanu nr. 9",,"0256 431 005","timisoara@mareea.ro",31,27
"Paralela 45","Str. Augustin Pacha nr. 6",,"0256 221 025","office@paralela45.com",31,27
"Passage","Str. Patriarh Miron Cristea nr. 5",,"0256 434 208","ramona.lambing@passage.ro",31,27
"Ra Travel","Bd. Revolutiei nr. 13",,"0256 282 113","office@ratravel.ro",31,27
"Recreation","Calea Martirilor nr. 1 AB",,"0256 491 480","office@recreation.ro",31,27
"Robinson Crusoe","Str. Augustin Pacha nr. 3",,"0356 179 411","contact@robinsoncrusoe.ro",31,27
"Travel Lounge","Str. Gheorghe Lazar nr. 8, ap. 8",,"0356 414 973","office@travel-lounge.ro",31,27
"Ultramarin","Str. N. Paulescu nr. 2",,"0256 499 706","office@ultramarintm.ro",31,27
"Al-kimia","Str. Marasesti nr. 10",,"0753 819 055","contact@al-kimia.ro",156,7
"Baroque Cafe","Piata Unirii nr. 11","Unirii","0720 543 223",,160,6
"Beer Time","Str. V. Vlad Delamarina nr. 1","Centru","0744 906 126",,156,7
"Bier Republik","Piata Unirii nr. 8","Unirii","0356 174 501","adicrai@yahoo.com",156,7
"Bierhaus & Bunker","Str. Emanoil Ungureanu nr. 15","Unirii","0721 279 039","contact@bierhaus.ro",156,7
"Bruiaj – si cafe si bar","Str. Victor Babes nr. 14A","Complex studentesc","0727 852 289","contact@bruiaj.ro",156,7
"Bugar'd Pub","Str. Gheorghe Lazar nr. 1","Unirii","0356 418 724",,156,7
"Cafe Colt","Piata Unirii nr. 4","Unirii","0732 229 933","cafe.colt@yahoo.com",160,6
"Cafe Corso","Str. Demetriade nr. 1 (Iulius Mall)","Iulius Mall","0726 715 645","contact@corsocafe.ro",160,6
"Cafe Mode Unirii","Piata Unirii 5","Unirii","0722 891 085 ",,160,6
"Cafe Mokum","Str. Eugeni de Savoya","Unirii","0752 271 707 ",,160,6
"Cafe Viena","str. Daliei nr. 1b","Complex studentesc","0747 232 533 ",,160,6
"Casa cu Flori","Strada Alba Iulia 1","Centru","0256 435 080 ",,156,7
"Copa Cafe","Pta Mocioni  nr. 8","Sinaia","0751 248 866 ",,160,6
"Cuib d'Arte","Str. Marasesti nr. 14","Unirii","0723 549 318",,156,7
"D'Arc Cafe","Piata Unirii nr. 5","Unirii","0722 891 085","club@darc.ro",160,6
"Darc pe mal","Malul Begai","Centru","0722 891 085",,156,7
"Drink's Cabine","Str. Vasile Alecsandri nr. 5",,"0720 101 992","drinkscabine@gmail.com",156,7
"Dublin Express Pub & More","Str. Brediceanu nr. 8",,,,156,7
"Eclipse","Str. F. Mercy nr. 9","Unirii","0722 343 528","office@eclipse-opera.ro",156,7
"eL che","Str. Emanoil Ungureanu nr. 9",,"0734 213 693","el.che.club@gmail.com",156,7
"Erick's Coffee House","Strada Vasile Alecsandri, 4","Unirii","0732 118 844 ",,160,6
"Eve Fashion Lounge","Bd. 3 August 1919 nr. 1",,"0728 500 110","eve@evefashionlounge.ro",156,7
"Friends Cafe","Str. Palanca nr. 2","Unirii","0721 690 545",,160,6
"Happy Pub","Aleea Studentilor, Complex Studentesc","Complex studentesc","0720 934 442",,156,7
"Hooters Pub","Str. Sf. Apostoli Petru si Pavel nr. 32","Lipovei","0753 056 852","office@hooters.ro",156,7
"Jarvis","Str. Emanoil Ungureanu nr. 14","Unirii","0356 460 872","contact@jarvis.ro",156,7
"Java Coffee House","Strada Augustin Pacha, 6","Unirii","0356 422 075 ","contact@javacoffeehouse.ro",160,6
"Jazzissimo Lounge","Str. Hector nr. 1","Unirii","0356 809 929","contact@jazzissimo.ro",156,7
"King's Pub","Bd. Regele Ferdinand I nr. 2","Centru","0727 338 738","office@thekingspub.ro",156,7
"Leonardo da Vinci-Caffe Museum","Strada Simion Barnutiu, 52","Modern","0256 219 091 ",,160,6
"Manufactura","Spaliul Tudor Vladimirescu 9","Maria","0740 313 070 ",,156,7
"Olli Cafe","Strada Daliei 14","Complex studentesc","0256 241 521",,160,6
