Gold Haj-ó Kft.;Gold Haj-ó Kft.;11;+36 1 2500800;Budapest;1214;1214 Budapest, Akácos sétány 2 .;Akácos sétány 2 .;;Budapest;0;0;;;;;;;bestgoldens@gmail.com;http://www.szepseglabirintus.hu;;;;0;51127031;47.4127822508;19.0631965544;Várjuk kedves jelenlegi és új szépülni vágyó vendégeinket. Barátságos környezet, kedves kiszolgálás.
Mezriczky Ferenc;Mezriczky Ferenc;11;+36 85 331634;Buzsák;8695;8695 Buzsák, Pet?fi Sándor utca 56 .;Pet?fi Sándor utca 56 .;;Somogy;0;0;;;;;;;;;;;;0;10780319;46.648521;17.577062;
Kézigyógyszertár Dr. Asztalos Csaba;Kézigyógyszertár Dr. Asztalos Csaba;144;+36 26 371073;Budajen?;2093;2093 Budajen?, József Attila utca 2 .;József Attila utca 2 .;;Pest;0;0;;;;;;;;;;;;0;56150560;47.556115557142;18.80423419392;
Asclepian Kft.;Asclepian Kft.;144;+36 23 353759;Telki;2089;2089 Telki, Vadrózsa utca;Vadrózsa utca;;Pest;0;0;;;;;;;;;;;;0;6508406;47.551980540208;18.812209990076;
Baumgartner Lászlóné;Baumgartner Lászlóné;11;+36 26 371338;Budajen?;2093;2093 Budajen?, Sport utca 8 .;Sport utca 8 .;;Pest;0;0;;;;;;;;;;;;0;10625389;47.555639949945;18.806474458899;
Magyari Zoltán;Magyari Zoltán;11;+36 26 371325;Budajen?;2093;2093 Budajen?, Kert utca 4 .;Kert utca 4 .;;Pest;0;0;;;;;;;;;;;;0;10777935;47.557983143644;18.808657428098;
Domoszlai Károly;Domoszlai Károly;189;+36 26 343179;Budakalász;2011;2011 Budakalász, Magyar utca 50;Magyar utca 50;;Pest;0;0;;;;;;;;;;;;0;130892;47.614145871664;19.042716416987;
Mikro-Ferr Bt.;Mikro-Ferr Bt.;189;+36 26 340099;Budakalász;2011;2011 Budakalász, Pomázi út 69;Pomázi út 69;;Pest;0;0;;;;;;;;;;;;0;33589273;47.633821215901;19.039954760414;
Szintelektro Kft.;Szintelektro Kft.;189;+36 26 340344;Budakalász;2011;2011 Budakalász, Jókai Mór utca 65;Jókai Mór utca 65;;Pest;0;0;;;;;;;;;;;;0;6336397;47.60940646344;19.057275274561;
McDonald's Budakalász;McDonald's Budakalász;158;+36 30 6805085;Budakalász;2011;2011 Budakalász, Omszk park 1 .;Omszk park 1 .;;Pest;0;0;;;;;;;;;;;;0;56062338;47.614076347997;19.059492621228;
RIMP Kft.;RIMP Kft.;144;+36 26 340533;Budakalász;2011;2011 Budakalász, Lupaszigeti út;Lupaszigeti út;;Pest;0;0;;;;;;;;;;;;0;33589269;47.61923;19.047047;
Herkules Gyógyszertár;Herkules Gyógyszertár;144;+36 26 342393;Budakalász;2011;2011 Budakalász, Omszk park 1 .;Omszk park 1 .;;Pest;0;0;;;;;;;;;;;;0;78325729;47.6124390968;19.0610311567;Nyitva: H-P: 8-20, Szo: 8.30-18, V: 8-16
Gyógyszertár;Gyógyszertár;144;+36 26 340232;Budakalász;2011;2011 Budakalász, K?bányai út 3;K?bányai út 3;;Pest;0;0;;;;;;;;;;;;0;6337758;47.620773370126;19.045735904567;
Viktória Gyógyszertár Budakalász;Viktória Gyógyszertár Budakalász;144;+36 26 340232;Budakalász;2011;2011 Budakalász, K?bányai út 3 .;K?bányai út 3 .;;Pest;0;0;;;;;;;;;;;;0;56042979;47.620773370126;19.045735904567;
Gyógyszertár;Gyógyszertár;144;+36 26 340232;Budakalász;2011;2011 Budakalász, Kossuth Lajos utca 20;Kossuth Lajos utca 20;;Pest;0;0;;;;;;;;;;;;0;124217;47.627393203352;19.053771969643;
Herkules Gyógyszertár Budakalász;Herkules Gyógyszertár Budakalász;144;+36 26 342393;Budakalász;2011;2011 Budakalász, Omszk park 1 .;Omszk park 1 .;;Pest;0;0;;;;;;;;;;;;0;56042981;47.614076347997;19.059492621228;
Herkules-Medoswiss Bt. - Herkules Gyógyszertár;Herkules-Medoswiss Bt. - Herkules Gyógyszertár;144;+36 26 342393;Budakalász;2011;2011 Budakalász, Omszk park 1;Omszk park 1;;Pest;0;0;;;;;;;;;;;;0;77404471;47.6124390968;19.0610311567;
Valnicsek Edit;Valnicsek Edit;11;+36 26 340306;Budakalász;2011;2011 Budakalász, Ciklámen utca 38 .;Ciklámen utca 38 .;;Pest;0;0;;;;;;;;;;;;0;10806287;47.625048356064;19.050434158487;
Nagy Edit;Nagy Edit;11;+36 26 340930;Budakalász;2011;2011 Budakalász, Béke sétány 29 .;Béke sétány 29 .;;Pest;0;0;;;;;;;;;;;;0;10782753;47.626616731607;19.049426206743;
Sifter Antalné;Sifter Antalné;11;+36 26 328883;Pomáz;2013;2013 Pomáz, Kandó Kálmán utca 3 .;Kandó Kálmán utca 3 .;;Pest;0;0;;;;;;;;;;;;0;10794165;47.634083761193;19.031612494917;
Gumidoktor Bt.;Gumidoktor Bt.;259;+36 23 450530;Budakeszi;2092;2092 Budakeszi, Szél utca 6 .;Szél utca 6 .;;Pest;0;0;;;;;;;;;;;;0;34046739;47.512488681061;18.925449145058;
Gumidoktor Bt.;Gumidoktor Bt.;259;+36 23 450530;Budakeszi;2092;2092 Budakeszi, Szél utca 6 .;Szél utca 6 .;;Pest;0;0;;;;;;;;;;;;0;62190597;47.512488681061;18.925449145058;
