Uusimaa,Уусимаа
Uusimaa,Уусимаа
Kanta-Häme,Канта-Хяме
Pirkanmaa,Пирканмаа
Päijät-Häme,Пяйят-Хяме
Keski-Suomi,Центральная Финляндия
Kymenlaakso,Кюменлааксо
Etelä-Savo,Южное Саво (Этеля-Саво)
Varsinais-Suomi,Юго-Западная Финляндия (Исконная Финляндия)
Ahvenanmaa,Ахвенанмаа
Satakunta,Сатакунта
Etelä-Karjala,Южная Карелия (Этеля-Карьяла)
Pohjois-Karjala,Северная Карелия (Похьойс-Карьяла)
Etelä-Pohjanmaa,Южная Остроботния (Этеля-Похьянмаа)
Pohjanmaa,Остроботния (Похьянмаа)
Keski-Pohjanmaa,Центральная Остроботния (Кески-Похьянмаа)
Pohjois-Pohjanmaa,Северная Остроботния (Похьойс-Похьянмаа)
Pohjois-Savo,Северное Саво ( Похьойс-Саво)
Kainuu,Кайнуу
Lappi,Лапландия
Joulupukki,Лапландия
