Afghanistan,Kabul,Afghanistan
Albania,Tirana,Albania
Algeria,Alger,Algeria
Andorra,Andorra la Vella,Andorra
Angola,Luanda,Angola
Antigua and Barbuda,Saint John's,Antigua
Argentina,Buenos Aires,Argentina
Armenia,Yerevan,Armenia
Australia,Canberra,Australia
Austria,Vienna,Austria
Azerbaijan,Baku,Azerbaijan
Bahamas,Nassau,Bahamas
Bahrain,Manama,Bahrain
Bangladesh,Dhaka,Bangladesh
Barbados,Bridgetown,Barbados
Belarus,Minsk,Belarus
Belgium,Brussels,Belgium
Belize,Belmopan,Belize
Benin,Porto-Novo,Benin
Bhutan,Thimphu,Bhutan
Bolivia,Sucre,Bolivia
Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina
Botswana,Gaborone,Botswana
Brazil,Brasilia,Brazil
Brunei Darussalam,Bandar Seri Begawan,Brunei Darussalam
Bulgaria,Sofia,Bulgaria
Burkina Faso,Ouagadougou,Burkina Faso
Burundi,Bujumbura,Burundi
Cambodia,Phnom Penh,Cambodia
Cameroon,Yaounde,Cameroon
Canada,Ottawa,Canada
Cape Verde,Praia,Cape Verde
Central African Republic,Bangui,Central African Republic
Chad,Ndjamena,Chad
Chile,Santiago,Chile
China,Beijing,China
Colombia,Bogotá,Colombia
Comoros,Moroni,Comoros
Democratic Republic of the Congo,Kinshasa,"Congo, the Democratic Republic of the"
Congo,Brazzaville,Congo
Costa Rica,San Jose,Costa Rica
Côte d'Ivoire,Yamoussoukro,Cote d'Ivoire
Croatia,Zagreb,Croatia
Cuba,Havana,Cuba
Cyprus,Nicosia,Cyprus
Czech Republic,Prague,Czech Republic
Denmark,Copenhagen,Denmark
Djibouti,Djibouti,Djibouti
Dominica,Roseau,Dominica
Dominican Republic,Santo Domingo,Dominican Republic
Timor-Leste,Dili,Timor-Leste
Ecuador,Quito,Ecuador
Egypt,Cairo,Egypt
El Salvador,San Salvador,El Salvador
Equatorial Guinea,Malabo,Equatorial Guinea
Eritrea,Āsmara,Eritrea
Estonia,Tallinn,Estonia
Ethiopia,Addis Ababa,Ethiopia
Fiji,Suva,Fiji
Finland,Helsinki,Finland
France,Paris,France
Gabon,Libreville,Gabon
The Gambia,Banjul,Gambia
Georgia,Tbilisi,Georgia
Germany,Berlin,Germany
Ghana,Accra,Ghana
Greece,Athens,Greece
Grenada,Saint George's,Grenada
Guatemala,Guatemala City,Guatemala
Guinea-Bissau,Bissau,Guinea-Bissau
Guinea,Conakry,Guinea
Guyana,Georgetown,Guyana
Haiti,Port-au-Prince,Haiti
Honduras,Tegucigalpa,Honduras
Hungary,Budapest,Hungary
Iceland,Reykjavik,Iceland
India,New Delhi,India
Indonesia,Jakarta,Indonesia
Iran,Tehran,Iran
Iraq,Baghdad,Iraq
Ireland,Dublin,Ireland
Israel,Jerusalem,Israel
Italy,Rome,Italy
Jamaica,Kingston,Jamaica
Japan,Tokyo,Japan
Jordan,Amman,Jordan
Kazakhstan,Astana,Kazakhstan
Kenya,Nairobi,Kenya
Kiribati,South Tarawa,Kiribati
North Korea,Pyongyang,"Korea, Democratic People's Republic of"
South Korea,Seoul,"Korea, Republic of"
Kuwait,Kuwait City,Kuwait
Kyrgyzstan,Bishkek,Kyrgyzstan
Lao People's Democratic Republic,Vientiane,Laos
Latvia,Riga,Latvia
Lebanon,Beirut,Lebanon
Lesotho,Maseru,Lesotho
Liberia,Montserrado,Liberia
Libya,Tripoli,Libya
Liechtenstein,Vaduz,Liechtenstein
Lithuania,Vilnius,Lithuania
Luxembourg,Luxembourg,Luxembourg
Macedonia (FYROM),Skopje,former Yugoslav Republic of Macedonia (FYROM)
Madagascar,Antananarivo,Madagascar
Malawi,Lilongwe,Malawi
Malaysia,Kuala Lumpur,Malaysia
Maldives,Male,Maldives
Mali,Bamako,Mali
Malta,Valletta,Malta
Marshall Islands,Majuro Atoll,Marshall Islands
Mauritania,Nouakchott,Mauritania
Mauritius,Port Louis,Mauritius
Mexico,Mexico City,Mexico
Micronesia,Palikir,Federated States of Micronesia
Moldova,Chisinau,Republic of Moldova
Monaco,Monaco,Monaco
Mongolia,Ulaanbaatar,Mongolia
Montenegro,Podgorica,Montenegro
Morocco,Rabat,Morocco
Mozambique,Maputo,Mozambique
Myanmar (Burma),Rangoon,Myanmar
Namibia,Windhoek,Namibia
Nauru,Yaren,Nauru
Nepal,Kathmandu,Nepal
Netherlands,Amsterdam,Netherlands
New Zealand,Wellington,New Zealand
Nicaragua,Managua,Nicaragua
Niger,Niamey,Niger
Nigeria,Abuja,Nigeria
Norway,Oslo,Norway
Oman,Muscat,Oman
Pakistan,Islamabad,Pakistan
Palau,Melekeok,Palau
Panama,Panama City,Panama
Papua New Guinea,Port Moresby,Papua New Guinea
Paraguay,Asuncion,Paraguay
Peru,Lima,Peru
Philippines,Manila,Philippines
Poland,Warsaw,Poland
Portugal,Lisbon,Portugal
Qatar,Doha,Qatar
Romania,Bucharest,Romania
Russia,Moscow,Russia
Rwanda,Kigali,Rwanda
Saint Kitts and Nevis,Basseterre,Saint Kitts and Nevis
Saint Lucia,Castries,Saint Lucia
Saint Vincent and the Grenadines,Kingstown,Saint Vincent and the Grenadines
Samoa,Apia,Samoa
San Marino,San Marino,San Marino
Sao Tome and Principe,Sao Tome,Sao Tome and Principe
Saudi Arabia,Riyadh,Suadi Arabia
Senegal,Dakar,Senegal
Serbia,Belgrade,Serbia
Seychelles,Victoria,Seychelles
Sierra Leone,Freetown,Sierra Leone
Singapore,Singapore,Singapore
Slovakia,Bratislava,Slovakia
Slovenia,Ljubljana,Slovenia
Solomon Islands,Honiara,Solomon Islands
Somalia,Mogadishu,Somalia
South Africa,Cape Town,South Africa
Spain of Deputies,Madrid,Spain
Sri Lanka,Sri Jayewardenepura Kotte,Sri Lanka
Sudan,Khartoum,Sudan
Suriname,Paramaribo,Suriname
Swaziland,Lobamba,Swaziland
Sweden,Stockholm,Sweden
Switzerland,Bern,Switzerland
Syria,Damascus,Syria
Tajikistan,Dushanbe,Tajikistan
Tanzania,Dodoma,Tanzania
Thailand,Bangkok,Thailand
Togo,Lome,Togo
Tonga,Nuku'alofa,Tonga
Trinidad and Tobago,Port of Spain,Trinidad and Tobago
Tunisia,Tunis,Tunisia
Turkey,Ankara,Turkey
Turkmenistan,Ashgabat,Turkmenistan
Tuvalu,Vaiaku,Tuvalu
Uganda,Kampala,Uganda
Ukraine,Kyiv,Ukraine
United Arab Emirates,Abu Dhabi,United Arab Emirates
United Kingdom,London,United Kingdom
United States of America,Washington D.C.,United States
Uruguay,Montevideo,Uruguay
Uzbekistan,Tashkent,Uzbekistan
Vanuatu,Port Vila,Vanuatu
Vatican,Vatican City,Vatican
Venezuela,Caracas,Venezuela
Vietnam,Hanoi,Viet Nam
Yemen,Sana'a,Yemen
Zambia,Lusaka,Zambia
Zimbabwe,Harare,Zimbabwe
