"1", "Escritórios ZON - Edifício América", "", "271", "NULL", "Lisboa", "Lisboa", "NULL", "http://www.zon.pt", "https://foursquare.com/v/escritorios-zon--edificio-america/4c8a03aa9ef0224b79e9567b", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Escritorios-ZON-Edificio-America/278255422231777", "278255422231777", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "1600-196", "R. Soeiro Pereira Gomes 7", "NULL", "38.74459891", "-9.159593582", "0"
"2", "Escritórios ZON - Edifício Centro Campanhã", "", "271", "NULL", "Campanhã", "Porto", "NULL", "http://www.zon.pt", "https://foursquare.com/v/escritorios-zon--edificio-centro-campanha/4ddd0f461838306b82148a61", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Escritorios-ZON-Edificio-Centro-Campanha/122310001219635", "122310001219635", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "4300-273", "R. de Justino Teixeira Porta A 3B", "NULL", "41.15057059", "-8.585705459", "0"
"3", "Escritórios ZON - HQ", "", "271", "NULL", "Lisboa", "Lisboa", "NULL", "http://www.zon.pt", "https://foursquare.com/v/escritorios-zon--hq/4bbeff59b083a593ceb7a2e9", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Escritorios-ZON-HQ/198611520224286", "198611520224286", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "1600-404", "R. Actor António Silva 9", "NULL", "38.75962187", "-9.157480001", "0"
"4", "Parque ZON Campo Grande", "", "5", "NULL", "Lisboa", "Lisboa", "NULL", "http://www.zon.pt", "https://foursquare.com/v/parque-zon-campo-grande/4eb836f76d86ba38ae276bbc", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Parque-ZON-Campo-Grande/304036012975377", "304036012975377", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "1600-317", "Campo Grande 414 G", "NULL", "38.75972226", "-9.157619476", "0"
"5", "Escritórios Optimus", "", "271", "NULL", "Lisboa", "Lisboa", "NULL", "http://www.optimus.pt", "https://foursquare.com/v/optimus/4c24a475b7b8a5933abd3ce8", "NULL", "https://www.facebook.com/pages/Escritorios-Optimus/190810767621473", "190810767621473", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "1990-095", "Av. D. João II Lt 1.06.2.4", "NULL", "38.77034643", "-9.097291231", "0"
"6", "Cinemas ZON Lusomundo Almada Forum", "", "35", "16996", "Almada", "Setúbal", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-almada-forum/4bf98c7c5ec320a1e2718ad3", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Almada-Forum/150548585018355", "150548585018355", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "2810-500", "Estrada do Caminho Municipal 1011 - Vale de Mourelos", "NULL", "38.66074536", "-9.175166488", "0"
"7", "Cinemas ZON Lusomundo Alvaláxia", "", "35", "16996", "Lisboa", "Lisboa", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-alvalaxia/4bb7628c2ea1952147d7ac2f", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Alvalaxia/156178337780211", "156178337780211", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "1600-463", "R. Francisco Stromp", "NULL", "38.76098553", "-9.159872532", "0"
"8", "Cinemas ZON Lusomundo Amoreiras", "", "35", "16996", "Amoreiras", "Lisboa", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-amoreiras/4beb0c7c6295c9b6f5368708", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Amoreiras/156904151039632", "156904151039632", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "1070-103", "Av. Eng. Duarte Pacheco 103", "NULL", "38.72278887", "-9.160661101", "0"
"9", "Cinemas ZON Lusomundo Braga Parque", "", "35", "16996", "Braga", "Braga", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-braga-parque/4d448c224e5d370436e7ec93", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Braga-Parque/159307260826146", "159307260826146", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "4710-427", "Braga Parque", "NULL", "41.55805404", "-8.405149877", "0"
"10", "Cinemas ZON Lusomundo CascaiShopping", "", "35", "16996", "Cascais", "Lisboa", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-cascaishopping/4c3f16b383a3a59383f0ee33", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-CascaiShopping/192258934146703", "192258934146703", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "2645-543", "EN 9", "NULL", "38.73798797", "-9.400563911", "0"
