id, title, slug, lang
1,Concerts & Music,Concerts & Music,en
1,Muzika i Koncerti,muzika-koncerti,me
2,Arts,Arts,en
2,Umetnost,umetnost,me
3,Cinema and Theatre,Cinema and Theatre,en
3,Bioskopi i Pozorišta,bioskopi-pozorista,me
4,Food,Food,en
4,Hrana,hrana,me
5,Fashion,Fashion,en
5,Moda,moda,me
6,Festivals & Fairs,Festivals & Fairs,en
6,Festivali i Sajmovi,festivali-sajmovi,me
7,Sport,Sport,en
7,Sport,sport,me
8,Nightlife,Nightlife,en
8,Nocni život,nocni-zivot,me
9,Kids & Family,Kids & Family,en
9,Djeca i Porodica,djeca-porodica,me
10,Local Life,Local Life,en
10,Lokalni život,lokalni-zivot,me
