title,classification_id_1,phone,city,city_id_partner,county,county_id_partner,email,website_url,foursquare_url,twitter_url,facebook_url,facebook_url,googleplus_url,company_type,registration_no,location_type,street_type_id,street_number,street,neighbourhood,postcode,latitude,longitude
Autočačak,2,030 311 121,Bar,26,Bar,2,,,,,,,,,,,, 1B,Branka Ćalovića,,,42.0954665,19.0932918
Samba,2,030 312 025,Bar,26,Bar,2,,,,,,,,,,,, 41,Jovana Tomaševića,,,42.0995976,19.0937085
Samba,2,030 342 182,Bar,26,Bar,2,samba@t-com.me,,,,,,,,,,, b.b.,Ronkula,,,0,0
Samba,2,030 342 182,Bar,26,Bar,2,,,,,,,,,,,, b.b.,Ronkula,,,0,0
Intertehna,2,051 230 260,Berane,191,Berane,5,,,,,,,,,,,, 10,M. Arsenijevića,,,42.84839,19.8689336
BLM Company,2,067 537 071,Budva,1271,Budva,21,perdiv@t-com.me,,,,,,,,,,, 37,Jadranski put,,,42.2880556,18.8425
Robur,2,041 233 333,Cetinje,318,Cetinje,6,roburct@t-com.me,,,,,,,,,,, 6,Njegošev Park S,,,42.3908879,18.91398
Posejdon   auto plac,2,069 016 806,Cetinje,318,Cetinje,6,,,,,,,,,,,, b.b.,Balšića pazar,,,42.3895615,18.9250499
Mont   Auto,2,041 237 550,Cetinje,318,Cetinje,6,,,,,,,,,,,, b.b.,Crna Greda,,,42.3908879,18.91398
Estate,2,067 550 824 ,Cetinje,318,Cetinje,6,,,,,,,,,,,, 5,Lovćenska,,,42.393152,18.9113384
Robur,2,041 233 333,Cetinje,318,Cetinje,6,roburct@t-com.me,,,,,,,,,,, 6,Njegošev Park S,,,42.3908879,18.91398
Apc ,2,041 234 500,Cetinje,318,Cetinje,6,sandra.4.2.94@t-com.me,,,,,,,,,,, b.b.,Očinići,,,42.3538684,18.9153103
M.M. Auto,2,067 486 731,Cetinje,318,Cetinje,6,,,,,,,,,,,, b.b.,Očinići,,,42.3538684,18.9153103
Pasadena,2,041 231 126,Cetinje,318,Cetinje,6,,,,,,,,,,,, b.b.,Očinići,,,42.3538684,18.9153103
Carrera,2,041 231 133,Cetinje,318,Cetinje,6,masiv@t-com.me,,,,,,,,,,, 32,Proleterskih brigada,,,42.3908879,18.91398
Pavić Company,2,041 238 654,Cetinje,318,Cetinje,6,,,,,,,,,,,, b.b.,Zabrđe,,,42.368134,18.936109
Anima,2,041 230 990,Cetinje,318,Cetinje,6,anamilos@t-com.me,,,,,,,,,,, b.b.,Zagrablje,,,42.3908879,18.91398
