title_city,city_id_partner,title_county,county_id_partner,lat,long,
Andrijevica,1,Andrijevica,1,42.7332835,19.7926528,
Andželati,2,Andrijevica,1,42.738881,19.785763,
Božići,3,Andrijevica,1,42.738881,19.785763,
Bojovići,4,Andrijevica,1,42.5795247,19.8049312,
Gnjili Potok,5,Andrijevica,1,42.743721,19.7212198,
Gračanica,6,Andrijevica,1,42.743721,19.7212198,
Dulipolje,7,Andrijevica,1,42.6951529,19.7494943,
Đulići,8,Andrijevica,1,42.694292,19.7904204,
Zabrđe,9,Andrijevica,1,42.7640754,19.7814908,
Jošanica,10,Andrijevica,1,42.688821,19.7256841,
Košutići,11,Andrijevica,1,42.6961285,19.7703291,
Kralje,12,Andrijevica,1,42.738881,19.785763,
Kuti,13,Andrijevica,1,42.738881,19.785763,
Gornje Luge,14,Andrijevica,1,42.738881,19.785763,
Rijeka Marsenića,15,Andrijevica,1,42.738881,19.785763,
Oblo Brdo,16,Andrijevica,1,42.738881,19.785763,
Prisoja,17,Andrijevica,1,42.738881,19.785763,
Seoca,18,Andrijevica,1,42.738881,19.785763,
Sjenožeta,19,Andrijevica,1,42.738881,19.785763,
Slatina,20,Andrijevica,1,42.738881,19.785763,
Trepča,21,Andrijevica,1,42.7768305,19.8216749,
Trešnjevo,22,Andrijevica,1,42.767386,19.8023267,
Ulotina,23,Andrijevica,1,42.738881,19.785763,
Cecuni,24,Andrijevica,1,42.693877,19.806584,
Arbnež,25,Bar,2,42.0721796,19.3441176,
Bar,26,Bar,2,42.0912106,19.089904,
Bartula,27,Bar,2,42.0838581,19.1463836,
Besa,28,Bar,2,42.1472342,19.2244264,
Bjeliši,29,Bar,2,42.0948716,19.1032801,
Bobovište,30,Bar,2,42.1165922,19.2705151,
Boljevići,31,Bar,2,42.091726,19.090263,
Braćeni,32,Bar,2,42.091726,19.090263,
Brijege,33,Bar,2,42.091726,19.090263,
Brca,34,Bar,2,42.091726,19.090263,
Bukovik,35,Bar,2,42.091726,19.090263,
Burtaiši,36,Bar,2,42.091726,19.090263,
Velembusi,37,Bar,2,42.091726,19.090263,
