title_city,title_county,lat,lon
Andrijevica,Andrijevica,42.738881,19.785763
Andželati,Andrijevica,42.738881,19.785763
Boži?i,Andrijevica,42.738881,19.785763
Bojovi?i,Andrijevica,42.738881,19.785763
Gnjili Potok,Andrijevica,42.738881,19.785763
Gra?anica,Andrijevica,42.738881,19.785763
Dulipolje,Andrijevica,42.738881,19.785763
?uli?i,Andrijevica,42.738881,19.785763
Zabr?e,Andrijevica,42.738881,19.785763
Jošanica,Andrijevica,42.738881,19.785763
Košuti?i,Andrijevica,42.738881,19.785763
Kralje,Andrijevica,42.738881,19.785763
Kuti,Andrijevica,42.738881,19.785763
Gornje Luge,Andrijevica,42.738881,19.785763
Rijeka Marseni?a,Andrijevica,42.738881,19.785763
Oblo Brdo,Andrijevica,42.738881,19.785763
Prisoja,Andrijevica,42.738881,19.785763
Seoca,Andrijevica,42.738881,19.785763
Sjenožeta,Andrijevica,42.738881,19.785763
Slatina,Andrijevica,42.738881,19.785763
Trep?a,Andrijevica,42.738881,19.785763
Trešnjevo,Andrijevica,42.738881,19.785763
Ulotina,Andrijevica,42.738881,19.785763
Cecuni,Andrijevica,42.738881,19.785763
Arbnež,Bar,42.091726,19.090263
Bar,Bar,42.091726,19.090263
Bartula,Bar,42.091726,19.090263
Besa,Bar,42.091726,19.090263
Bjeliši,Bar,42.091726,19.090263
Bobovište,Bar,42.091726,19.090263
Boljevi?i,Bar,42.091726,19.090263
Bra?eni,Bar,42.091726,19.090263
Brijege,Bar,42.091726,19.090263
Brca,Bar,42.091726,19.090263
Bukovik,Bar,42.091726,19.090263
Burtaiši,Bar,42.091726,19.090263
Velembusi,Bar,42.091726,19.090263
Veliki Mikuli?i,Bar,42.091726,19.090263
Veliki Ostros,Bar,42.091726,19.090263
Velja Gorana,Bar,42.091726,19.090263
Velje Selo,Bar,42.091726,19.090263
Virpazar,Bar,42.091726,19.090263
Gluhi Do,Bar,42.091726,19.090263
Godinje,Bar,42.091726,19.090263
Gornja Briska,Bar,42.091726,19.090263
Gornji Br?eli,Bar,42.091726,19.090263
Gornji Muri?i,Bar,42.091726,19.090263
Grdovi?i,Bar,42.091726,19.090263
Gurza,Bar,42.091726,19.090263
Dabezi?i,Bar,42.091726,19.090263
Dedi?i,Bar,42.091726,19.090263
Dobra Voda,Bar,42.091726,19.090263
Donja Briska,Bar,42.091726,19.090263
Donji Br?eli,Bar,42.091726,19.090263
Donji Muri?i,Bar,42.091726,19.090263
Dra?evica,Bar,42.091726,19.090263
Dupilo,Bar,42.091726,19.090263
?en?inovi?i,Bar,42.091726,19.090263
?uravci,Bar,42.091726,19.090263
?urmani,Bar,42.091726,19.090263
Zagra?e,Bar,42.091726,19.090263
Zaljevo,Bar,42.091726,19.090263
Zankovi?i,Bar,42.091726,19.090263
Zgrade,Bar,42.091726,19.090263
Zupci,Bar,42.091726,19.090263
Karaniki?i,Bar,42.091726,19.090263
Komarno,Bar,42.091726,19.090263
Koštanjica,Bar,42.091726,19.090263
Krnjice,Bar,42.091726,19.090263
Kruševica,Bar,42.091726,19.090263
Kunje,Bar,42.091726,19.090263
Livari,Bar,42.091726,19.090263
Limljani,Bar,42.091726,19.090263
Luki?i,Bar,42.091726,19.090263
Mala Gorana,Bar,42.091726,19.090263
Mali Mikuli?i,Bar,42.091726,19.090263
Mali Ostros,Bar,42.091726,19.090263
Marstijepovi?i,Bar,42.091726,19.090263
Marti?i,Bar,42.091726,19.090263
Ma?uge,Bar,42.091726,19.090263
Miljevci,Bar,42.091726,19.090263
Miši?i,Bar,42.091726,19.090263
Ovto?i?i,Bar,42.091726,19.090263
Orahovo,Bar,42.091726,19.090263
Papani,Bar,42.091726,19.090263
Pelinkovi?i,Bar,42.091726,19.090263
Pe?urice,Bar,42.091726,19.090263
Pin?i?i,Bar,42.091726,19.090263
Podi,Bar,42.091726,19.090263
Polje,Bar,42.091726,19.090263
Popratnica,Bar,42.091726,19.090263
Seoca,Bar,42.091726,19.090263
Sozina,Bar,42.091726,19.090263
Sotoni?i,Bar,42.091726,19.090263
Stari Bar,Bar,42.091726,19.090263
Sustaš,Bar,42.091726,19.090263
Sutomore,Bar,42.091726,19.090263
Tejani,Bar,42.091726,19.090263
Tomba,Bar,42.091726,19.090263
Tomi?i,Bar,42.091726,19.090263
Trnovo,Bar,42.091726,19.090263
Tu?emili,Bar,42.091726,19.090263
Tur?ini,Bar,42.091726,19.090263
Utrg,Bar,42.091726,19.090263
Ckla,Bar,42.091726,19.090263
?eluga,Bar,42.091726,19.090263
Šušanj,Bar,42.091726,19.090263
Brajkova?a,Žabljak,43.154573,19.123157
Virak,Žabljak,43.154573,19.123157
Vrela,Žabljak,43.154573,19.123157
Gomile,Žabljak,43.154573,19.123157
Gradina,Žabljak,43.154573,19.123157
Dobri Nugo,Žabljak,43.154573,19.123157
Žabljak,Žabljak,43.154573,19.123157
Zminica,Žabljak,43.154573,19.123157
Krš,Žabljak,43.154573,19.123157
Moti?ki Gaj,Žabljak,43.154573,19.123157
Ninkovi?i,Žabljak,43.154573,19.123157
Novakovi?i,Žabljak,43.154573,19.123157
Njegovu?a,Žabljak,43.154573,19.123157
Palež,Žabljak,43.154573,19.123157
Pašina Voda,Žabljak,43.154573,19.123157
Pašino Polje,Žabljak,43.154573,19.123157
Pitomine,Žabljak,43.154573,19.123157
Podgora,Žabljak,43.154573,19.123157
Poš?enski Kraj,Žabljak,43.154573,19.123157
Rasova,Žabljak,43.154573,19.123157
Rudanci,Žabljak,43.154573,19.123157
Suvodo,Žabljak,43.154573,19.123157
Tepa?ko Polje,Žabljak,43.154573,19.123157
Tepca,Žabljak,43.154573,19.123157
Mala Crna Gora,Žabljak,43.154573,19.123157
Šljivansko,Žabljak,43.154573,19.123157
Šumanovac,Žabljak,43.154573,19.123157
Borje,Žabljak,43.154573,19.123157
Bare,Šavnik,42.957797,19.094365
Boan,Šavnik,42.957797,19.094365
Godijelji,Šavnik,42.957797,19.094365
Gornja Bijela,Šavnik,42.957797,19.094365
Gornja Bukovica,Šavnik,42.957797,19.094365
Grabovica,Šavnik,42.957797,19.094365
Dobra Sela,Šavnik,42.957797,19.094365
Donja Bijela,Šavnik,42.957797,19.094365
Donja Bukovica,Šavnik,42.957797,19.094365
Dubrovsko,Šavnik,42.957797,19.094365
Duži,Šavnik,42.957797,19.094365
Komarnica,Šavnik,42.957797,19.094365
Krnja Jela,Šavnik,42.957797,19.094365
Malinsko,Šavnik,42.957797,19.094365
Miloševi?i,Šavnik,42.957797,19.094365
Mljeti?ak,Šavnik,42.957797,19.094365
Mokro,Šavnik,42.957797,19.094365
Petnjica,Šavnik,42.957797,19.094365
Poš?enje,Šavnik,42.957797,19.094365
Previš,Šavnik,42.957797,19.094365
Pridvorica,Šavnik,42.957797,19.094365
Provalija,Šavnik,42.957797,19.094365
Slatina,Šavnik,42.957797,19.094365
Strug,Šavnik,42.957797,19.094365
Timar,Šavnik,42.957797,19.094365
Tušina,Šavnik,42.957797,19.094365
Šavnik,Šavnik,42.957797,19.094365
Azane,Berane,42.844994,19.874457
Babino,Berane,42.844994,19.874457
Bastahe,Berane,42.844994,19.874457
Beran Selo,Berane,42.844994,19.874457
Bor,Berane,42.844994,19.874457
Bubanje,Berane,42.844994,19.874457
Budimlja,Berane,42.844994,19.874457
Bu?e,Berane,42.844994,19.874457
Veli?e,Berane,42.844994,19.874457
Vinicka,Berane,42.844994,19.874457
Vrševo,Berane,42.844994,19.874457
Vu?a,Berane,42.844994,19.874457
Glavaca,Berane,42.844994,19.874457
Godo?elje,Berane,42.844994,19.874457
Goražde,Berane,42.844994,19.874457
Gornja Vrbica,Berane,42.844994,19.874457
