TITLE_CITY,TITLE_CITY_EN,TITLE_DISTRICT,TITLE_DISTRICT_EN,TITLE_COUNTY,TITLE_COUNTY_EN,LAT,LNG
поселок Новый,null,Гиагинский район,null,республика Адыгея,null,44.935892,40.17707
станица Гиагинская,null,Гиагинский район,null,республика Адыгея,null,44.885316,40.057181
поселок Лесной,null,Красногвардейский район,null,республика Адыгея,null,45.165958,39.628011
село Садовое,null,Красногвардейский район,null,республика Адыгея,null,45.008432,39.697244
село Уляп,null,Красногвардейский район,null,республика Адыгея,null,45.053716,39.946338
станица Ханская,null,Майкоп городской округ,null,республика Адыгея,null,44.687761,39.955007
хутор Веселый,null,Майкоп городской округ,null,республика Адыгея,null,44.674885,39.937534
хутор Гавердовский,null,Майкоп городской округ,null,республика Адыгея,null,44.614499,40.013271
поселок Каменномостский,null,Майкопский район,null,республика Адыгея,null,44.290247,40.185973
поселок Краснооктябрьский,null,Майкопский район,null,республика Адыгея,null,44.577214,40.076037
поселок Кужорская,null,Майкопский район,null,республика Адыгея,null,44.649304,40.29245
поселок Первомайский,null,Майкопский район,null,республика Адыгея,null,44.406771,40.176208
поселок Совхозный,null,Майкопский район,null,республика Адыгея,null,44.538741,40.150552
поселок Тульский,null,Майкопский район,null,республика Адыгея,null,44.493345,40.149528
хутор Северо-Восточные Сады,null,Майкопский район,null,республика Адыгея,null,44.636747,40.136359
Тахтамукай,null,Тахтамукайский район,null,республика Адыгея,null,44.927195,38.987557
аул Козет,null,Тахтамукайский район,null,Республика Адыгея,null,44.997757,38.990818
аул Новая Адыгея,null,Тахтамукайский район,null,Республика Адыгея,null,45.013084,38.929328
поселок Козет,null,Тахтамукайский район,null,республика Адыгея,null,44.995845,38.997744
поселок Новый,null,Тахтамукайский район,null,Республика Адыгея,null,45.00608,38.976023
поселок Новый Сад,null,Тахтамукайский район,null,республика Адыгея,null,44.905021,38.905909
поселок Старобжегокай,null,Тахтамукайский район,null,республика Адыгея,null,45.031126,38.886398
поселок Энем,null,Тахтамукайский район,null,республика Адыгея,null,44.921285,38.900492
поселок Яблоновский,null,Тахтамукайский район,null,республика Адыгея,null,44.991211,38.929472
поселок городского типа Яблоновский,null,Тахтамукайский район,null,Республика Адыгея,null,44.977026,38.933245
поселок Тлюстенхабль,null,Теучежский район,null,республика Адыгея,null,44.976433,39.081638
поселок городского типа Тлюстенхабль,null,Теучежский район,null,Республика Адыгея,null,44.980214,39.104464
поселок Джерокай,null,Шовгеновский район,null,республика Адыгея,null,44.991306,40.30968
поселок Дубровка,null,Майминский район,null,Республика Алтай,null,51.928857,85.837143
поселок Усть-Муны,null,Майминский район,null,Республика Алтай,null,51.722478,85.758208
село Майма,null,Майминский район,null,Республика Алтай,null,51.988086,85.874512
село Манжерок,null,Майминский район,null,Республика Алтай,null,51.835109,85.776839
село Мыюта,null,Шебалинский район,null,Республика Алтай,null,51.417861,85.627045
Алейск,null,городской округ Алейск,null,Алтайский край,null,52.499157,82.749184
Кабаково,null,Алейский район,null,Алтайский край,null,52.312118,82.50371
поселок Солнечный,null,Алейский район,null,Алтайский край,null,52.512867,82.777804
село Алтайское,null,Алтайский район,null,Алтайский край,null,51.945393,85.324187
село Ая,null,Алтайский район,null,Алтайский край,null,51.940807,85.814927
село Старобелокуриха,null,Алтайский район,null,Алтайский край,null,52.054801,85.077671
Барнаул,null,городской округ Барнаул,null,Алтайский край,null,53.42109,83.515833
поселок Лесной,null,городской округ Барнаул,null,Алтайский край,null,53.259687,83.476918
поселок Новомихайловка,null,Барнаул городской округ,null,Алтайский край,null,53.353144,83.473765
Белокуриха,null,городской округ Белокуриха,null,Алтайский край,null,51.994707,84.94207
Бийск,null,городской округ Бийск,null,Алтайский край,null,52.439765,85.020924
поселок Малоугренёво,null,городской округ Бийск,null,Алтайский край,null,52.563435,85.331346
Бийск,null,Бийский район,null,Алтайский край,null,52.449816,84.895906
поселок Боровой,null,Бийский район,null,Алтайский край,null,52.571394,85.311215
поселок Пригородный,null,Бийский район,null,Алтайский край,null,52.575914,85.250704
село Верх-Катунское,null,Бийский район,null,Алтайский край,null,52.459283,85.413201
село Лесное,null,Бийский район,null,Алтайский край,null,52.464144,85.243563
село Первомайское,null,Бийский район,null,Алтайский край,null,52.597559,85.244407
Степное Озеро,null,Благовещенский район,null,Алтайский край,null,52.782615,79.852135
поселок Благовещенка,null,Благовещенский район,null,Алтайский край,null,52.831124,79.874557
поселок Леньки,null,Благовещенский район,null,Алтайский край,null,52.928457,80.418711
село Александровка,null,Благовещенский район,null,Алтайский край,null,52.907927,80.582717
село Волчиха,null,Волчихинский район,null,Алтайский край,null,52.008436,80.357626
село Новоегорьевское,null,Егорьевский район,null,Алтайский край,null,51.757073,80.901241
село Первомайское,null,Егорьевский район,null,Алтайский край,null,51.736346,81.188604
село Завьялово,null,Завьяловский район,null,Алтайский край,null,52.832528,80.910871
Заринск,null,городской округ Заринск,null,Алтайский край,null,53.740669,84.906174
Заринск,null,Заринский район,null,Алтайский край,null,53.740781,84.905572
село Барановка,null,Змеиногорский район,null,Алтайский край,null,51.050916,82.205308
поселок Мирный,null,Зональный район,null,Алтайский край,null,52.569013,85.017906
поселок Октябрьский,null,Зональный район,null,Алтайский край,null,52.736091,85.004683
село Шубенка,null,Зональный район,null,Алтайский край,null,52.640478,85.104333
село Зимари,null,Калманский район,null,Алтайский край,null,53.185918,83.470702
село Калманка,null,Калманский район,null,Алтайский край,null,52.897058,83.544831
Камень-на-Оби,null,городской округ Камень-на-Оби,null,Алтайский край,null,53.775148,81.272668
поселок при станции Плотинная,null,городской округ Камень-на-Оби,null,Алтайский край,null,53.792257,81.42504
поселок Курск,null,Кулундинский район,null,Алтайский край,null,52.440759,78.913458
поселок Октябрьский,null,Кулундинский район,null,Алтайский край,null,52.562291,78.871516
село Кулунда,null,Кулундинский район,null,Алтайский край,null,52.565553,78.922594
село Кытманово,null,Кытмановский район,null,Алтайский край,null,53.459918,85.441147
Горняк,null,Локтевский район,null,Алтайский край,null,50.986544,81.488533
село Мамонтово,null,Мамонтовский район,null,Алтайский край,null,52.698861,81.615348
